rank,predicted probability of recidivating within one year,DOC ID number
612,0.169703927,54651
613,0.169682623,1069808
614,0.169653515,1052738
615,0.169562783,849669
616,0.169552683,78129
617,0.169549648,923362
618,0.169521397,1089256
619,0.16950978,912489
620,0.169490868,1092115
621,0.169470278,1086850
622,0.169417581,904270
623,0.169283308,906225
624,0.16926928,1103289
625,0.169229784,1101930
626,0.169229585,820762
627,0.169222233,985012
628,0.169207619,1049457
629,0.169199358,1093845
630,0.169193222,897101
631,0.169180089,1142711
632,0.169167914,1014834
633,0.16913857,1105701
634,0.169124672,1112237
635,0.169104517,643974
636,0.169063438,955204
637,0.169022591,218500
638,0.169019743,1051132
639,0.169006176,5442
640,0.16900531,1100331
641,0.168963801,1116135
642,0.16895864,1045699
643,0.168918606,1089735
644,0.16891656,439864
645,0.168895495,384096
646,0.168874292,676300
647,0.168839213,856592
648,0.1688152,726487
649,0.168810195,237650
650,0.16879499,213490
651,0.168788297,1113779
652,0.168781754,1151218
653,0.168754384,917353
654,0.168745916,1035149
655,0.168705989,236614
656,0.16867544,427023
657,0.168633323,146969
658,0.168624706,1137374
659,0.168586494,1016593
660,0.168570174,987507
661,0.168540173,1065834
662,0.168536955,927729
663,0.168536078,767303
664,0.168505145,1093673
665,0.168477322,1042158
666,0.168471938,706911
667,0.168437682,1042066
668,0.168407182,1047459
669,0.168369862,1101029
670,0.168328593,1083713
671,0.168326191,67445
672,0.168317327,489438
673,0.168294347,388965
674,0.168207382,1052479
675,0.168206799,893091
676,0.168201695,421507
677,0.168181655,1084505
678,0.168169012,1016207
679,0.168157107,1063072
680,0.168149314,1054503
681,0.168143883,9064
682,0.1681019,1099915
683,0.168080112,365253
684,0.168017672,1062472
685,0.168010212,727743
686,0.168004575,174704
687,0.168004464,1122740
688,0.167990308,1095849
689,0.167960533,124269
690,0.167937714,1058584
691,0.167919966,1050478
692,0.167826289,1073487
693,0.167782963,642406
694,0.167757852,851352
695,0.16763087,587500
696,0.16760772,710530
697,0.167571161,1045168
698,0.16756775,1058862
699,0.16756725,731123
700,0.167543596,238424
701,0.167485725,54526
702,0.167481468,1056562
703,0.167480143,449245
704,0.167457118,1125075
705,0.167388652,933271
706,0.167381606,1073869
707,0.167378873,1147972
708,0.167371523,894753
709,0.167348591,59717
710,0.167342156,46830
711,0.167293099,1086704
712,0.167262813,890523
713,0.167226056,891471
714,0.167214307,1131029
715,0.167210349,663921
716,0.167191564,1117658
717,0.167189467,1054815
718,0.167153492,57530
719,0.167149242,1086901
720,0.167138379,78360
721,0.167128544,698624
722,0.16712495,1070176
723,0.167114247,1070737
724,0.16711378,959439
725,0.167105477,57751
726,0.167073561,775851
727,0.16705967,239759
728,0.16704812,1055429
729,0.167036214,243125
730,0.167033316,268407
731,0.167024477,142474
732,0.167012611,1050744
733,0.167011756,444023
734,0.166993092,882503
735,0.16695899,568044
736,0.166935828,1110351
737,0.166932464,505943
738,0.166930204,504876
739,0.166914008,680216
740,0.166912376,698509
741,0.166857889,820073
742,0.166849614,845497
743,0.166849224,6587
744,0.166793725,257906
745,0.16672421,559368
746,0.166717823,268076
747,0.166687941,990877
748,0.16668336,1089230
749,0.166650811,977897
750,0.166635963,1060344
751,0.166629371,70172
752,0.166626924,737784
753,0.16658939,941746
754,0.166588836,895092
755,0.166588644,947575
756,0.166585388,1139821
757,0.166583082,806117
758,0.166548072,1073425
759,0.166544671,1022217
760,0.166538102,1061880
761,0.166535806,838626
762,0.166524807,1060382
763,0.166498228,630027
764,0.166483856,1023555
765,0.166467731,1055539
766,0.166439008,1046826
767,0.166437708,1057939
768,0.16639678,552295
769,0.166391453,174012
770,0.166367826,761028
771,0.166345161,92509
772,0.166334328,970705
773,0.166307033,845070
774,0.166293081,595450
775,0.166246222,1085141
776,0.166241632,755338
777,0.166225154,1077373
778,0.1662178,658680
779,0.166186208,849081
780,0.166171346,1152566
781,0.166160278,506250
782,0.166141444,943
783,0.16612975,867201
784,0.16611525,1104956
785,0.166111892,1033430
786,0.166095628,371598
787,0.166084647,831243
788,0.166078567,982265
789,0.166048677,427409
790,0.16604418,779714
791,0.166038627,757390
792,0.166033789,474072
793,0.166004011,1119499
794,0.165960333,704222
795,0.165953928,285156
796,0.165947407,1086257
797,0.165933605,866777
798,0.165921448,1105494
799,0.165910046,714342
800,0.165906631,1100227
801,0.165888314,1051609
802,0.16587791,461410
803,0.165867257,1054512
804,0.16586172,31057
805,0.165825822,1097335
806,0.165801077,348377
807,0.165759947,892450
808,0.165743886,1044621
809,0.165714912,993357
810,0.165694866,645110
811,0.165678864,1056989
812,0.165672146,672226
813,0.165617765,914645
814,0.165603589,1005898
815,0.165582198,1061568
816,0.165492808,481670
817,0.165489205,818365
818,0.165486525,811589
819,0.165387498,360286
820,0.165347176,791595
821,0.165301081,1050997
822,0.165293762,1060358
823,0.165268869,215324
824,0.165268684,933978
825,0.165195352,1111645
826,0.165173446,770870
827,0.165164014,1099167
828,0.165108498,311279
829,0.165092364,792273
830,0.165083268,1015488
831,0.165061661,1057342
832,0.165032726,1048193
833,0.165030907,1105231
834,0.165025675,288832
835,0.165018921,921100
836,0.165003286,1163381
837,0.164994607,1079510
838,0.164978266,318040
839,0.164963764,752437
840,0.164956057,676053
841,0.164920033,1125179
842,0.164913656,924979
843,0.164907675,1050103
844,0.164901584,1146508
845,0.164890765,936188
846,0.164887661,1002409
847,0.164852442,617071
848,0.164842165,1046835
849,0.164836456,1093431
850,0.164804068,725713
851,0.164801725,923371
852,0.164789085,1125186
853,0.164787793,1085323
854,0.164779862,745981
855,0.164747595,1056868
856,0.164740655,1135779
857,0.16472619,945749
858,0.164716196,1052029
859,0.164701879,1100721
860,0.164700398,697741
861,0.164673124,1132321
862,0.164659822,1105319
863,0.164650308,117166
864,0.164648516,1072898
865,0.164610036,759967
866,0.16459955,786488
867,0.16459441,1059880
868,0.164557387,713206
869,0.164542812,1110348
870,0.164512962,1071891
871,0.164506884,1051736
872,0.164469307,838863
873,0.164458342,597043
874,0.164419604,1073324
875,0.164369003,579790
876,0.164359809,440981
877,0.164326858,800347
878,0.164325957,589905
879,0.164319056,60649
880,0.164303746,790490
881,0.164299555,902122
882,0.164223794,707532
883,0.164201099,1108645
884,0.16417062,1054667
885,0.164159013,1107636
886,0.164153556,10103
887,0.164144472,730474
888,0.164125789,1130687
889,0.164100902,570598
890,0.16409455,275602
891,0.164076051,28101
892,0.164060418,874695
893,0.164023817,1156342
894,0.164010207,1055000
895,0.164009815,307655
896,0.163991733,507768
897,0.163967494,22604
898,0.163946637,942606
899,0.163937748,337190
900,0.163919329,888579
901,0.163908048,919535
